Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1832,0,4400,5152.694868995633,1793,14084,10551.75982532751,3.103615451908458,0.0,4400,5100,5700,6600,9100,11000,11000,12000,14000,14000,14000
GET,/cart,4418,0,3700,3824.404934359439,1239,8888,13547.456541421458,7.484592285224654,0.0,3700,4100,4400,4700,5300,5800,6500,6800,8300,8900,8900
POST,/cart,4435,0,5400,5514.4496054115,2404,13310,17975.594813979707,7.513392210269656,0.0,5400,5900,6200,6500,7200,7800,8500,9100,12000,13000,13000
POST,/cart/checkout,1447,3,3100,3147.32204561161,496,10308,6802.370421561852,2.451381855301058,0.005082339713823894,3100,3500,3700,3900,4400,4700,5300,5800,10000,10000,10000
GET,/product/0PUK6V6EV0,2188,0,3600,3695.518281535649,1525,9467,7917.449268738574,3.70671976461556,0.0,3600,4000,4200,4400,4900,5400,6100,6700,8800,9500,9500
GET,/product/1YMWWN1N4O,2311,0,3600,3719.235395932497,1493,9474,7934.647771527477,3.9150956928823395,0.0,3600,4000,4300,4400,4900,5400,5900,6400,8700,9500,9500
GET,/product/2ZYFJ3GM2N,2085,0,3600,3675.640287769784,1350,9073,7939.364028776979,3.532226101107606,0.0,3600,4000,4200,4300,4800,5300,6000,6600,8300,9100,9100
GET,/product/66VCHSJNUP,2141,0,3600,3693.6515646893977,1228,9105,7905.35263895376,3.6270964424323187,0.0,3600,4000,4200,4400,4900,5400,6000,7000,8700,9100,9100
GET,/product/6E92ZMYYFZ,2148,0,3600,3697.811918063315,1408,9403,7890.079608938548,3.638955235097908,0.0,3600,4000,4200,4400,4900,5400,6200,6900,8000,9400,9400
GET,/product/9SIQT8TOJO,2110,0,3600,3668.2995260663506,1418,9026,7940.495260663507,3.5745789320561387,0.0,3600,3900,4200,4400,4800,5300,6000,6600,8400,9000,9000
GET,/product/L9ECAV7KIM,2169,0,3600,3704.0244352236055,1417,10097,7899.195481788843,3.674531613094675,0.0,3600,3900,4200,4400,4900,5500,6000,6500,8400,10000,10000
GET,/product/LS4PSXUNUM,2145,0,3600,3690.855011655012,1462,9094,7907.971095571095,3.633872895384084,0.0,3600,4000,4200,4400,4900,5400,5900,6200,8400,9100,9100
GET,/product/OLJCESPC7Z,2108,0,3500,3667.8363377609107,1403,10395,7940.558823529412,3.571190705580256,0.0,3500,3900,4200,4400,4900,5300,6100,6500,9500,10000,10000
POST,/setCurrency,2953,0,4600,4827.1957331527265,1770,13944,10567.50321706739,5.002716391640653,0.0,4600,5100,5500,5800,6600,7400,8500,9700,13000,14000,14000
,Aggregated,34490,3,3900,4094.51768628588,496,14084,10253.12809510003,58.429965576595364,0.005082339713823894,3900,4400,4700,5000,5800,6600,7700,8700,12000,14000,14000
