Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1832,0,4300,5058.6610262008735,1308,13243,10553.715065502183,3.1042036280777383,0.0,4300,5000,5600,6200,9100,10000,11000,12000,13000,13000,13000
GET,/cart,4407,0,3700,3823.309961425006,1176,9474,13484.400499205809,7.467371937193556,0.0,3700,4200,4500,4600,5200,5800,6500,7100,8700,9500,9500
POST,/cart,4433,0,5400,5522.382133995037,2301,14807,17919.56011730205,7.511427228858414,0.0,5400,6000,6300,6600,7300,7900,8700,9200,12000,15000,15000
POST,/cart/checkout,1500,10,3100,3120.075333333333,293,6394,6796.498,2.5416514422033885,0.01694434294802259,3100,3400,3700,3800,4300,4700,5200,5600,6000,6400,6400
GET,/product/0PUK6V6EV0,2193,0,3600,3696.014591883265,1470,9821,7912.99316005472,3.715894408501354,0.0,3600,4000,4200,4400,4900,5400,6000,6800,9100,9800,9800
GET,/product/1YMWWN1N4O,2122,0,3500,3669.658341187559,1204,10406,7928.6616399623,3.5955895735703938,0.0,3500,3900,4200,4400,4900,5400,6100,6500,9000,10000,10000
GET,/product/2ZYFJ3GM2N,2128,0,3600,3688.5484022556393,1370,9300,7933.039003759399,3.605756179339207,0.0,3600,4000,4200,4400,5000,5500,6200,7000,8900,9300,9300
GET,/product/66VCHSJNUP,2208,0,3600,3713.1684782608695,1129,10638,7904.09375,3.741310922923388,0.0,3600,4000,4300,4400,4900,5400,6300,7200,8400,11000,11000
GET,/product/6E92ZMYYFZ,2172,0,3600,3705.5690607734805,1385,9289,7883.006445672191,3.6803112883105067,0.0,3600,4000,4200,4400,5000,5500,6200,6700,8400,9300,9300
GET,/product/9SIQT8TOJO,2159,0,3500,3655.081519221862,1483,9205,7939.204261232052,3.6582836424780774,0.0,3500,3900,4200,4400,4900,5400,6100,6800,8600,9200,9200
GET,/product/L9ECAV7KIM,2100,0,3500,3632.5709523809523,1372,8603,7904.684285714286,3.558312019084744,0.0,3500,3900,4100,4300,4800,5300,6000,6500,8500,8600,8600
GET,/product/LS4PSXUNUM,2194,0,3500,3644.249316317229,1374,9996,7907.302643573382,3.717588842796156,0.0,3500,3900,4200,4400,4900,5400,6200,6700,8900,10000,10000
GET,/product/OLJCESPC7Z,2195,0,3600,3692.089293849658,1353,8745,7933.457403189066,3.7192832770909585,0.0,3600,3900,4200,4400,4900,5300,6000,6600,8200,8700,8700
POST,/setCurrency,2907,0,4600,4802.51840385277,1850,15806,10566.903680770554,4.925720494990167,0.0,4600,5100,5500,5800,6600,7400,8300,9600,14000,16000,16000
,Aggregated,34550,10,3800,4076.603907380608,293,15806,10224.222720694646,58.54270488541805,0.01694434294802259,3800,4300,4700,5000,5800,6600,7800,8900,12000,14000,16000
