Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1795,0,5000,5810.872980501393,1623,16566,10548.759331476323,3.04101120072452,0.0,5000,5900,6800,7400,10000,13000,14000,15000,16000,17000,17000
GET,/cart,4228,0,4100,4261.407284768212,1283,10416,13057.276253547776,7.162894349116027,0.0,4100,4600,5000,5300,6100,6700,7500,8300,9700,10000,10000
POST,/cart,4108,0,6100,6350.632181110029,2516,16398,17916.013388510222,6.959595550181798,0.0,6100,6800,7300,7600,8600,9500,11000,12000,15000,16000,16000
POST,/cart/checkout,1406,11,3600,3725.964438122333,200,12024,6793.142958748222,2.381984260846058,0.018635723235637724,3600,4000,4400,4600,5300,6100,6900,8000,9800,12000,12000
GET,/product/0PUK6V6EV0,1954,0,4000,4182.45957011259,1422,10731,7911.898157625384,3.310382109312374,0.0,4000,4500,4800,5100,5800,6500,7500,8200,10000,11000,11000
GET,/product/1YMWWN1N4O,2002,0,4100,4254.314685314685,1481,10400,7928.033966033966,3.391701628886066,0.0,4100,4500,4900,5100,5900,6600,7600,8100,10000,10000,10000
GET,/product/2ZYFJ3GM2N,1985,0,4100,4239.381360201512,1411,10062,7930.245340050378,3.3629009657037168,0.0,4100,4500,4900,5100,5800,6600,7500,8400,10000,10000,10000
GET,/product/66VCHSJNUP,1986,0,4100,4223.447633434038,1185,13106,7898.028197381672,3.3645951223615023,0.0,4100,4500,4900,5100,5800,6600,7600,8600,10000,13000,13000
GET,/product/6E92ZMYYFZ,1996,0,4000,4199.6808617234465,1512,11696,7884.789078156313,3.3815366889393546,0.0,4000,4500,4900,5100,5800,6600,7600,8400,10000,12000,12000
GET,/product/9SIQT8TOJO,2064,0,4000,4173.555717054263,1026,11500,7940.897771317829,3.4967393416687513,0.0,4000,4500,4900,5100,5800,6600,7500,8100,10000,12000,12000
GET,/product/L9ECAV7KIM,2012,0,4100,4291.9348906560635,1400,10475,7895.2664015904575,3.4086431954639185,0.0,4100,4600,5000,5200,6000,6800,7900,8700,10000,10000,10000
GET,/product/LS4PSXUNUM,2013,0,4000,4201.891703924491,1548,10525,7902.147540983607,3.410337352121704,0.0,4000,4500,4900,5100,5800,6600,7600,8600,10000,11000,11000
GET,/product/OLJCESPC7Z,1953,0,4000,4236.94726062468,1332,9892,7936.31643625192,3.308687952654589,0.0,4000,4600,4900,5200,5800,6700,7700,8200,9600,9900,9900
POST,/setCurrency,2715,0,5400,5786.84788213628,1807,16004,10563.446777163905,4.599635325886948,0.0,5400,6200,6700,7100,8300,9600,11000,12000,15000,16000,16000
,Aggregated,32217,11,4300,4697.646149548375,200,16566,10185.611881925692,54.58064504386733,0.018635723235637724,4300,5000,5500,5800,6900,8000,9400,11000,15000,16000,17000
