Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1873,0,4200,4848.16817939135,1465,14649,10552.159636946077,3.175369440090394,0.0,4200,4900,5500,6200,7600,9700,11000,12000,14000,15000,15000
GET,/cart,4522,0,3600,3749.061477222468,1040,9800,13239.395621406456,7.66632173416378,0.0,3600,4100,4400,4600,5200,5700,6300,6800,9300,9800,9800
POST,/cart,4535,0,5200,5326.802646085997,2211,11500,17940.41697905182,7.688361137645454,0.0,5200,5700,6100,6300,6900,7500,8200,8700,10000,12000,12000
POST,/cart/checkout,1529,8,2900,2975.4094179202093,391,6108,6798.586003924133,2.5921729171907164,0.013562709834876214,2900,3300,3400,3600,4100,4500,4900,5300,6100,6100,6100
GET,/product/0PUK6V6EV0,2178,0,3400,3553.097337006428,1104,7601,7914.549127640037,3.6924477525450494,0.0,3400,3800,4000,4200,4700,5200,5600,6100,7200,7600,7600
GET,/product/1YMWWN1N4O,2216,0,3500,3587.3722924187728,1509,10976,7934.763086642599,3.7568706242607113,0.0,3500,3800,4100,4200,4700,5200,5900,6400,8900,11000,11000
GET,/product/2ZYFJ3GM2N,2137,0,3400,3543.6986429574167,1255,9979,7933.772578380907,3.6229388646413088,0.0,3400,3800,4000,4200,4700,5200,5600,6200,8900,10000,10000
GET,/product/66VCHSJNUP,2160,0,3400,3537.4814814814813,1393,10698,7899.212962962963,3.661931655416578,0.0,3400,3800,4000,4200,4700,5200,5800,6100,9800,11000,11000
GET,/product/6E92ZMYYFZ,2198,0,3400,3542.9062784349408,1233,10806,7887.1847133757965,3.72635452713224,0.0,3400,3800,4000,4200,4600,5100,5700,6400,8200,11000,11000
GET,/product/9SIQT8TOJO,2202,0,3400,3544.096730245232,1317,11909,7940.224795640327,3.733135882049678,0.0,3400,3800,4000,4200,4700,5200,5800,6300,9000,12000,12000
GET,/product/L9ECAV7KIM,2182,0,3400,3555.160403299725,1325,9713,7896.8308890925755,3.6992291074624877,0.0,3400,3800,4000,4200,4700,5200,5900,6800,8900,9700,9700
GET,/product/LS4PSXUNUM,2245,0,3400,3550.1955456570154,1386,11815,7905.296659242762,3.8060354474121376,0.0,3400,3800,4100,4200,4700,5200,5700,6200,9300,12000,12000
GET,/product/OLJCESPC7Z,2158,0,3500,3587.0685820203894,1359,11770,7935.525023169602,3.658540977957859,0.0,3500,3800,4100,4300,4800,5200,5800,6300,9000,12000,12000
POST,/setCurrency,3034,0,4400,4564.533948582729,1181,12570,10564.582399472643,5.143657704876804,0.0,4400,4900,5300,5500,6200,6800,7700,8600,12000,13000,13000
,Aggregated,35169,8,3700,3939.579771958259,391,14649,10213.60160937189,59.6233677728452,0.013562709834876214,3700,4200,4600,4800,5600,6300,7300,8100,12000,13000,15000
