Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1875,0,4100,4852.5968,1218,13656,10554.7856,3.1766439194690617,0.0,4100,4800,5500,6400,8300,9600,11000,11000,13000,14000,14000
GET,/cart,4550,0,3700,3804.3841758241756,812,9133,13302.301978021978,7.708655911244923,0.0,3700,4100,4500,4700,5300,5800,6500,7000,8700,9100,9100
POST,/cart,4502,0,5300,5487.041981341626,1788,14096,17966.625499777878,7.627333826906515,0.0,5300,5900,6200,6500,7200,7800,8500,9000,12000,14000,14000
POST,/cart/checkout,1509,10,2900,3017.551358515573,211,6997,6796.198807157058,2.5565630263887007,0.016942100903834995,2900,3300,3500,3700,4200,4500,5100,5300,6800,7000,7000
GET,/product/0PUK6V6EV0,2138,0,3500,3663.61131898971,1419,10415,7918.231524789523,3.622221173239922,0.0,3500,3900,4100,4300,4800,5400,6100,6900,9500,10000,10000
GET,/product/1YMWWN1N4O,2120,0,3600,3704.847169811321,1609,10252,7930.114150943396,3.591725391613019,0.0,3600,4000,4200,4400,4900,5400,6100,6900,9000,10000,10000
GET,/product/2ZYFJ3GM2N,2210,0,3500,3659.333031674208,1333,10598,7938.544343891403,3.744204299747534,0.0,3500,3900,4200,4300,4800,5300,6100,7000,9200,11000,11000
GET,/product/66VCHSJNUP,2177,0,3500,3658.3642627468994,1306,8943,7903.554432705558,3.6882953667648786,0.0,3500,3900,4200,4300,4800,5300,6100,6500,8800,8900,8900
GET,/product/6E92ZMYYFZ,2158,0,3500,3640.8308619091754,1431,11311,7889.600092678406,3.6561053750475923,0.0,3500,3900,4200,4300,4800,5200,5900,6600,9700,11000,11000
GET,/product/9SIQT8TOJO,2078,0,3500,3672.691530317613,1417,9102,7941.381616939365,3.520568567816912,0.0,3500,3900,4200,4300,4900,5400,6000,6700,8900,9100,9100
GET,/product/L9ECAV7KIM,2178,0,3600,3684.538567493113,1509,9099,7901.022497704316,3.689989576855262,0.0,3600,3900,4200,4400,4800,5500,6200,6900,8900,9100,9100
GET,/product/LS4PSXUNUM,2171,0,3500,3601.770152003685,1522,10205,7902.7116536158455,3.6781301062225777,0.0,3500,3900,4100,4300,4700,5200,5800,6300,10000,10000,10000
GET,/product/OLJCESPC7Z,2171,0,3500,3644.2970981114695,1444,10208,7940.424689083372,3.6781301062225777,0.0,3500,3900,4200,4300,4800,5300,6300,6900,9000,10000,10000
POST,/setCurrency,2943,0,4400,4571.153244988107,1874,15671,10568.984369690792,4.986060295998639,0.0,4400,4900,5200,5500,6200,6900,7800,8700,14000,16000,16000
,Aggregated,34780,10,3800,4028.2054054054056,211,15671,10241.072340425531,58.924626943538115,0.016942100903834995,3800,4300,4600,4900,5700,6600,7600,8500,12000,14000,16000
