Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1862,0,4300,4860.7867883995705,1402,14606,10554.567669172933,3.1549083661078954,0.0,4300,4900,5500,6000,7400,10000,12000,12000,14000,15000,15000
GET,/cart,4616,0,3700,3774.15554592721,1241,8555,13607.04116117851,7.821190664851796,0.0,3700,4100,4400,4600,5300,5800,6400,6800,7600,8600,8600
POST,/cart,4466,0,5300,5456.33184057322,1904,12511,18052.93999104344,7.56703585555202,0.0,5300,5800,6200,6500,7100,7700,8400,8900,10000,13000,13000
POST,/cart/checkout,1419,4,3000,3068.028188865398,907,7388,6802.055673009161,2.404304495975888,0.00677746158132738,3000,3300,3600,3700,4300,4700,5100,5600,7300,7400,7400
GET,/product/0PUK6V6EV0,2214,0,3500,3583.276874435411,1358,9893,7931.655826558265,3.751324985264705,0.0,3500,3800,4100,4300,4800,5300,5900,6400,8200,9900,9900
GET,/product/1YMWWN1N4O,2132,0,3500,3576.6515009380864,1214,10207,7947.672607879925,3.6123870228474937,0.0,3500,3900,4100,4300,4800,5200,5700,6300,7800,10000,10000
GET,/product/2ZYFJ3GM2N,2280,0,3500,3595.1377192982454,1313,9299,7945.2807017543855,3.8631531013566067,0.0,3500,3800,4100,4300,4800,5300,6000,6500,8500,9300,9300
GET,/product/66VCHSJNUP,2095,0,3500,3582.6100238663485,1457,10083,7914.537947494034,3.549695503220215,0.0,3500,3800,4100,4200,4700,5100,5700,6200,7800,10000,10000
GET,/product/6E92ZMYYFZ,2228,0,3500,3580.1723518850986,1442,9497,7897.553859964093,3.7750461007993508,0.0,3500,3800,4100,4300,4700,5200,5900,6500,8200,9500,9500
GET,/product/9SIQT8TOJO,2229,0,3500,3595.2337371018393,1350,8714,7947.790937640198,3.7767404661946826,0.0,3500,3900,4100,4300,4800,5200,5900,6300,7700,8700,8700
GET,/product/L9ECAV7KIM,2160,0,3500,3598.786574074074,1413,11196,7915.834259259259,3.659829253916785,0.0,3500,3800,4100,4300,4800,5200,5900,6500,8600,11000,11000
GET,/product/LS4PSXUNUM,2130,0,3400,3565.487323943662,1355,10102,7917.002816901409,3.60899829205683,0.0,3400,3800,4100,4200,4700,5200,5900,6400,8400,10000,10000
GET,/product/OLJCESPC7Z,2065,0,3500,3585.268280871671,1237,11308,7938.832929782082,3.49886454136026,0.0,3500,3800,4100,4300,4800,5200,5900,6400,8500,11000,11000
POST,/setCurrency,3038,0,4500,4707.358130348914,1825,14744,10569.319947333772,5.147482071018145,0.0,4500,5100,5400,5700,6500,7100,7900,8700,12000,15000,15000
,Aggregated,34934,4,3800,3993.7560828991814,907,14744,10297.03592488693,59.190960720522675,0.00677746158132738,3800,4300,4600,4900,5700,6500,7400,8200,12000,14000,15000
