timestamp,adservice_running,adservice_paused,cartservice_running,cartservice_paused,checkoutservice_running,checkoutservice_paused,currencyservice_running,currencyservice_paused,emailservice_running,emailservice_paused,paymentservice_running,paymentservice_paused,frontend_running,frontend_paused,productcatalogservice_running,productcatalogservice_paused,recommendationservice_running,recommendationservice_paused,shippingservice_running,shippingservice_paused
2025-04-28T11:03:47.470162,3,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:04:02.604869,3,0,3,0,3,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:04:17.745969,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0
2025-04-28T11:04:32.871785,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0
2025-04-28T11:04:47.993525,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0
2025-04-28T11:05:03.119440,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0
2025-04-28T11:05:18.242445,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0
2025-04-28T11:05:33.389335,2,0,2,0,2,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0
2025-04-28T11:16:20.342881,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:16:35.461728,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:16:50.570022,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:17:05.676831,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:17:20.783554,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:17:35.920842,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:17:51.045953,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:18:06.190002,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:18:21.321624,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:18:36.462603,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:18:51.582320,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:19:06.723993,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:19:21.829373,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:19:36.940326,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:19:52.053300,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:20:07.160992,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:20:22.268276,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:20:37.374224,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:20:52.479826,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T11:21:07.591957,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
