timestamp,adservice_running,adservice_paused,cartservice_running,cartservice_paused,checkoutservice_running,checkoutservice_paused,currencyservice_running,currencyservice_paused,emailservice_running,emailservice_paused,paymentservice_running,paymentservice_paused,productcatalogservice_running,productcatalogservice_paused,recommendationservice_running,recommendationservice_paused,shippingservice_running,shippingservice_paused,optimize_flag,pause_flag
2025-06-01T15:06:46.411974,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:07:07.015910,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:07:27.493081,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:07:48.015967,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:08:08.322423,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:08:28.698101,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2025-06-01T15:08:48.918323,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:09:10.409047,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:09:31.344202,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:09:51.786042,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:10:12.126900,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:10:32.482101,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2025-06-01T15:10:52.690435,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:11:14.050849,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:11:34.835161,2,0,2,0,2,0,2,0,3,0,3,0,2,0,2,0,3,0,0,0
2025-06-01T15:11:55.389471,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:12:15.715851,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
2025-06-01T15:12:35.959924,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2025-06-01T15:12:56.164116,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:13:17.522432,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:13:38.151340,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:13:58.503754,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:14:18.877839,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
2025-06-01T15:14:39.124923,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2025-06-01T15:14:59.316197,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:15:20.551127,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:15:41.010363,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:16:01.316693,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:16:21.610976,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
2025-06-01T15:16:41.812858,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2025-06-01T15:17:02.064761,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:17:23.117513,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:17:43.508502,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:18:03.851343,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:18:24.166040,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
2025-06-01T15:18:44.359812,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2025-06-01T15:19:04.548689,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:19:25.360820,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:19:45.771131,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:20:06.114881,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-06-01T15:20:26.419840,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
2025-06-01T15:20:46.606979,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2025-06-01T15:21:06.800491,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-06-01T15:21:27.583840,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
