Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1790,0,4300,4987.26592178771,1408,15662,10554.2687150838,3.032487249179347,0.0,4300,5000,5700,6400,8200,11000,12000,13000,15000,16000,16000
GET,/cart,4561,0,3700,3841.846744135058,1041,8637,13453.76035957027,7.726913041065365,0.0,3700,4200,4500,4700,5300,5800,6400,6800,7900,8600,8600
POST,/cart,4450,0,5400,5572.714831460674,2109,12194,17995.278651685392,7.538864949077149,0.0,5400,6000,6400,6600,7300,7900,8700,9300,11000,12000,12000
POST,/cart/checkout,1468,6,3100,3113.5960490463217,281,8001,6799.557901907357,2.4869783697180345,0.010164761729092784,3100,3400,3600,3800,4300,4700,5400,5700,6800,8000,8000
GET,/product/0PUK6V6EV0,2166,0,3600,3677.619113573407,1394,9592,7914.628808864266,3.6694789842024953,0.0,3600,3900,4200,4300,4800,5300,6000,6400,8500,9600,9600
GET,/product/1YMWWN1N4O,2168,0,3600,3714.6702029520297,1284,9471,7928.432195571956,3.6728672381121927,0.0,3600,4000,4200,4400,4900,5500,6100,6700,7900,9500,9500
GET,/product/2ZYFJ3GM2N,2189,0,3600,3687.3129282777522,1286,9778,7934.6244860666975,3.7084439041640174,0.0,3600,4000,4200,4400,4900,5400,5900,6300,8300,9800,9800
GET,/product/66VCHSJNUP,2154,0,3600,3658.6234911792017,1082,10603,7906.093779015785,3.6491494607443093,0.0,3600,3900,4200,4300,4800,5300,5900,6500,8200,11000,11000
GET,/product/6E92ZMYYFZ,2152,0,3600,3697.7913568773233,1496,10212,7885.191449814127,3.645761206834612,0.0,3600,3900,4200,4400,4900,5400,6100,6600,9500,10000,10000
GET,/product/9SIQT8TOJO,2198,0,3600,3681.6383075523204,1243,7731,7936.014558689718,3.7236910467576565,0.0,3600,3900,4200,4400,4900,5500,6100,6400,7400,7700,7700
GET,/product/L9ECAV7KIM,2141,0,3600,3697.0294255021017,1600,9570,7897.964035497431,3.6271258103312753,0.0,3600,4000,4200,4400,4900,5400,6000,6400,8300,9600,9600
GET,/product/LS4PSXUNUM,2135,0,3600,3657.287587822014,1412,8911,7904.740046838408,3.616961048602182,0.0,3600,3900,4200,4300,4800,5400,5900,6100,7800,8900,8900
GET,/product/OLJCESPC7Z,2135,0,3600,3682.0604215456674,1464,9394,7934.749882903981,3.616961048602182,0.0,3600,4000,4200,4300,4900,5400,6000,6500,7700,9400,9400
POST,/setCurrency,2871,0,4500,4686.971786833856,1817,14497,10567.08777429467,4.863838487370897,0.0,4500,5000,5400,5700,6500,7200,8400,9000,13000,14000,14000
,Aggregated,34578,6,3800,4074.31233732431,281,15662,10252.856787552779,58.579521844761715,0.010164761729092784,3800,4300,4700,5000,5800,6600,7600,8500,12000,14000,16000
