Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748395868,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1748395869,50,,Aggregated,0.000000,0.000000,930,930,930,930,930,930,930,930,930,930,930,1,0,930,930.0,930,930,10499.0
1748395870,100,,Aggregated,0.000000,0.000000,1800,1900,1900,1900,1900,2000,2000,2000,2000,2000,2000,36,0,1800,1729.9722222222222,930,1955,10419.888888888889
1748395871,150,,Aggregated,0.000000,0.000000,1900,1900,2000,2200,2300,2500,2500,2600,2600,2600,2600,54,0,1900,1874.8148148148148,930,2602,10304.185185185184
1748395872,200,,Aggregated,1.500000,0.000000,1900,2000,2200,2300,2500,2600,2700,2800,2800,2800,2800,71,0,1900,1933.5633802816901,930,2755,10051.070422535211
1748395873,250,,Aggregated,15.000000,0.000000,2300,2900,3100,3200,3800,3900,3900,4000,4000,4000,4000,136,0,2300,2474.6911764705883,930,3978,9545.33088235294
1748395874,300,,Aggregated,14.750000,0.000000,2900,3400,3700,3800,3900,4000,4600,4700,4800,4800,4800,192,0,2900,2821.5104166666665,930,4841,9743.265625
1748395875,350,,Aggregated,17.000000,0.000000,3100,3600,3700,3800,4000,4100,4700,4800,4800,4800,4800,226,0,3100,2961.0132743362833,930,4849,9792.393805309735
1748395876,400,,Aggregated,25.000000,0.000000,3200,3700,3800,3900,4200,4700,4700,4800,4800,4800,4800,249,0,3200,3083.8353413654618,930,4849,9836.273092369478
1748395877,450,,Aggregated,29.142857,0.000000,3300,3700,3900,4000,4400,4700,5100,5300,5300,5300,5300,284,0,3300,3196.8415492957747,930,5349,9691.084507042253
1748395878,500,,Aggregated,0.000000,0.000000,4000,4500,4700,5000,5600,6200,6200,6300,6300,6300,6300,59,0,4000,4251.932203389831,2420,6333,8533.0
1748395879,500,,Aggregated,0.000000,0.000000,4400,4900,5400,5500,5900,6500,6900,6900,6900,6900,6900,100,0,4400,4534.17,2420,6855,8799.77
1748395880,500,,Aggregated,20.000000,0.000000,4600,5100,5500,5800,6500,7100,7400,7900,8000,8000,8000,145,0,4600,4779.620689655172,2420,7952,8943.986206896552
1748395881,500,,Aggregated,33.000000,0.000000,4700,5300,5700,6000,6700,7100,7400,8000,8000,8000,8000,164,0,4600,4879.140243902439,2420,8049,8956.390243902439
1748395882,500,,Aggregated,39.000000,0.000000,4800,5500,6000,6400,7200,8200,9000,9200,10000,10000,10000,192,0,4800,5158.6875,2420,9961,8993.3125
1748395883,500,,Aggregated,39.750000,0.000000,5100,6000,6600,7100,8300,9300,10000,10000,10000,10000,10000,231,0,5100,5565.108225108225,2420,10367,9248.441558441558
1748395884,500,,Aggregated,34.400000,0.000000,5500,6400,7200,7700,9300,10000,12000,12000,12000,12000,12000,296,0,5500,5997.206081081081,2420,11799,9428.631756756757
1748395885,500,,Aggregated,37.500000,0.000000,6000,7300,8600,9100,10000,11000,12000,12000,13000,13000,13000,367,0,6000,6541.073569482289,1909,12953,9588.465940054495
1748395886,500,,Aggregated,33.000000,0.000000,6400,8300,9100,9600,11000,12000,12000,13000,14000,14000,14000,526,0,6400,6918.2566539923955,1602,13764,9573.644486692016
1748395887,500,,Aggregated,40.500000,0.000000,6800,8700,9500,9900,11000,12000,12000,13000,14000,14000,14000,588,0,6800,7105.811224489796,1507,13764,9610.988095238095
1748395888,500,,Aggregated,44.444444,0.000000,6600,8600,9400,9900,11000,12000,13000,13000,14000,14000,14000,650,0,6500,7009.4353846153845,1507,14050,9531.536923076923
1748395889,500,,Aggregated,54.000000,0.000000,6300,8200,9200,9700,11000,12000,13000,13000,14000,14000,14000,698,0,6300,6796.795128939828,1507,14050,9441.81805157593
1748395890,500,,Aggregated,59.800000,0.000000,6000,7900,9000,9500,11000,12000,12000,13000,14000,14000,14000,773,0,6000,6636.29107373868,1507,14050,9290.600258732213
1748395891,500,,Aggregated,59.500000,0.000000,5900,7200,8700,9300,11000,12000,12000,13000,14000,14000,14000,868,0,5900,6492.640552995392,1507,14050,9217.222350230415
1748395892,500,,Aggregated,60.200000,0.000000,5800,7100,8400,9100,11000,11000,12000,13000,14000,14000,14000,942,0,5800,6417.683651804671,1507,14050,9261.36093418259
1748395893,500,,Aggregated,61.600000,0.000000,5700,7000,8400,9100,10000,11000,12000,13000,14000,14000,14000,961,0,5700,6394.272632674298,1507,14050,9262.606659729448
