Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1940,0,4200,4857.2505154639175,1652,12687,10552.759793814434,3.287216515597431,0.0,4200,4900,5500,6400,8600,9400,10000,11000,12000,13000,13000
GET,/cart,4588,0,3600,3759.9439843068876,1304,8299,13611.6933304272,7.774097615237635,0.0,3600,4100,4400,4600,5200,5700,6400,6900,7900,8300,8300
POST,/cart,4492,0,5100,5322.008014247551,2387,12111,17971.241985752447,7.611431230960649,0.0,5100,5700,6100,6300,7000,7600,8400,9300,11000,12000,12000
POST,/cart/checkout,1486,6,2900,2976.4279946164197,186,9207,6800.116419919246,2.517940073287517,0.010166649017311642,2900,3200,3500,3600,4100,4500,4900,5200,6900,9200,9200
GET,/product/0PUK6V6EV0,2216,0,3400,3532.0126353790615,1430,8013,7916.800992779783,3.7548823703937666,0.0,3400,3800,4000,4200,4700,5200,5800,6400,7500,8000,8000
GET,/product/1YMWWN1N4O,2251,0,3500,3574.922256774767,1440,9684,7931.366503776099,3.814187822994751,0.0,3500,3800,4100,4300,4700,5100,5700,6100,8700,9700,9700
GET,/product/2ZYFJ3GM2N,2160,0,3400,3523.546296296296,1427,9190,7937.375925925926,3.659993646232191,0.0,3400,3700,4000,4200,4600,5200,5700,6200,8000,9200,9200
GET,/product/66VCHSJNUP,2179,0,3500,3588.659935750344,1429,8600,7900.641578705829,3.6921880347870113,0.0,3500,3800,4100,4200,4800,5200,5800,6400,7900,8600,8600
GET,/product/6E92ZMYYFZ,2230,0,3400,3514.883856502242,1633,8553,7884.908071748879,3.77860455143416,0.0,3400,3800,4000,4200,4700,5100,5700,6400,8000,8600,8600
GET,/product/9SIQT8TOJO,2226,0,3500,3536.996406109614,1370,8706,7934.7740341419585,3.7718267854226193,0.0,3500,3800,4000,4200,4700,5200,5700,6000,8500,8700,8700
GET,/product/L9ECAV7KIM,2102,0,3500,3557.290675547098,1292,9518,7902.225499524263,3.5617160390648452,0.0,3500,3800,4000,4200,4700,5100,5800,6500,7600,9500,9500
GET,/product/LS4PSXUNUM,2217,0,3400,3537.566080288678,1274,8890,7905.653134866937,3.7565768118966516,0.0,3400,3800,4100,4200,4700,5100,5600,6100,7600,8900,8900
GET,/product/OLJCESPC7Z,2120,0,3400,3535.8438679245282,1440,8298,7923.828773584905,3.59221598611678,0.0,3400,3800,4000,4200,4700,5100,5600,6200,8200,8300,8300
POST,/setCurrency,3007,0,4300,4432.8626538077815,1823,11947,10566.152643831061,5.095185599176018,0.0,4300,4700,5100,5300,6000,6600,7300,7900,11000,12000,12000
,Aggregated,35214,6,3700,3923.5849946044186,186,12687,10264.848156983018,59.668063082602025,0.010166649017311642,3700,4200,4500,4800,5500,6400,7400,8400,11000,12000,13000
