Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1869,0,4200,5006.248261102193,1438,14779,10553.069555912252,3.166776433230879,0.0,4200,4900,5600,6400,9400,11000,12000,13000,14000,15000,15000
GET,/cart,4484,0,3600,3763.3532560214094,1223,8209,13823.839429081178,7.597552448693024,0.0,3600,4100,4400,4600,5200,5700,6200,6600,7500,8200,8200
POST,/cart,4402,0,5300,5420.856656065424,2408,10801,18004.226715129487,7.458614156812376,0.0,5300,5800,6200,6400,7100,7700,8400,8800,10000,11000,11000
POST,/cart/checkout,1411,11,3000,3011.690999291283,97,6790,6793.946846208363,2.390755241995062,0.01863806354496505,3000,3300,3500,3700,4100,4600,5200,5500,6400,6800,6800
GET,/product/0PUK6V6EV0,2197,0,3500,3581.007737824306,1447,10316,7917.610832954028,3.7225296007534734,0.0,3500,3800,4100,4200,4700,5100,5800,6200,7900,10000,10000
GET,/product/1YMWWN1N4O,2113,0,3500,3546.0255560814007,1243,8742,7940.111689540937,3.5802025700464677,0.0,3500,3800,4100,4200,4700,5100,5700,6100,7600,8700,8700
GET,/product/2ZYFJ3GM2N,2235,0,3500,3557.413870246085,1237,7806,7934.720357941835,3.786915638454262,0.0,3500,3800,4100,4200,4700,5200,5700,6100,7200,7800,7800
GET,/product/66VCHSJNUP,2112,0,3400,3547.216856060606,1271,8696,7904.148200757576,3.578508200633289,0.0,3400,3800,4100,4200,4700,5100,5700,6200,7900,8700,8700
GET,/product/6E92ZMYYFZ,2189,0,3400,3537.280036546368,1304,8348,7889.854728186387,3.7089746454480443,0.0,3400,3800,4100,4200,4700,5100,5700,6300,7100,8300,8300
GET,/product/9SIQT8TOJO,2124,0,3500,3587.960922787194,1524,10706,7945.964218455744,3.5988406335914327,0.0,3500,3800,4100,4300,4700,5200,5700,6100,7400,11000,11000
GET,/product/L9ECAV7KIM,2264,0,3500,3560.8484982332157,1027,8533,7906.1466431095405,3.8360523514364426,0.0,3500,3800,4100,4300,4700,5200,5800,6200,7400,8500,8500
GET,/product/LS4PSXUNUM,2148,0,3500,3579.1764432029795,1375,9497,7909.101489757914,3.6395054995077203,0.0,3500,3800,4100,4300,4700,5100,5800,6300,7800,9500,9500
GET,/product/OLJCESPC7Z,2180,0,3500,3582.461009174312,1323,9182,7933.25504587156,3.6937253207294365,0.0,3500,3800,4100,4300,4800,5300,5900,6400,8800,9200,9200
POST,/setCurrency,3100,0,4300,4576.955483870967,1308,12988,10568.390967741936,5.252545180853786,0.0,4300,4900,5300,5600,6400,7100,8300,9100,12000,13000,13000
,Aggregated,34828,11,3700,3969.7520098771106,97,14779,10286.081601010681,59.0114979221857,0.01863806354496505,3700,4200,4600,4800,5700,6400,7500,8600,12000,14000,15000
