Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1793,0,4200,4943.243725599554,1531,14050,10552.655326268823,3.038716939560792,0.0,4200,4800,5400,5900,9000,10000,12000,12000,14000,14000,14000
GET,/cart,4564,0,3700,3808.851226993865,1339,8431,13368.946319018405,7.734915846154744,0.0,3700,4200,4500,4700,5200,5700,6300,6700,7700,8400,8400
POST,/cart,4408,0,5300,5411.232531760435,2005,11222,17961.061025408348,7.470532219511417,0.0,5300,5800,6200,6400,7100,7700,8400,8900,10000,11000,11000
POST,/cart/checkout,1472,4,2900,3052.483016304348,790,7106,6802.262907608696,2.494696784737025,0.006779067349828872,2900,3300,3600,3700,4300,4700,5300,5600,7000,7100,7100
GET,/product/0PUK6V6EV0,2126,0,3500,3603.289275634995,1490,7519,7917.459078080903,3.6030742964340456,0.0,3500,3900,4200,4300,4800,5200,5800,6100,7000,7500,7500
GET,/product/1YMWWN1N4O,2172,0,3500,3607.656537753223,1484,7957,7932.48802946593,3.681033570957078,0.0,3500,3900,4100,4300,4800,5300,5700,6100,7000,8000,8000
GET,/product/2ZYFJ3GM2N,2155,0,3500,3628.52343387471,1346,8089,7939.314617169373,3.652222534720305,0.0,3500,3900,4200,4300,4800,5200,5800,6200,7300,8100,8100
GET,/product/66VCHSJNUP,2100,0,3600,3636.9152380952382,1480,7995,7906.040952380952,3.559010358660158,0.0,3600,3900,4200,4300,4800,5300,5900,6200,7000,8000,8000
GET,/product/6E92ZMYYFZ,2183,0,3500,3620.9592304168577,1416,7119,7885.739349519011,3.699676006169107,0.0,3500,3900,4200,4300,4800,5200,5700,6100,7000,7100,7100
GET,/product/9SIQT8TOJO,2228,0,3500,3639.8105924596052,1548,7517,7936.674596050269,3.7759405138546818,0.0,3500,3900,4200,4300,4800,5200,5900,6300,7300,7500,7500
GET,/product/L9ECAV7KIM,2084,0,3500,3585.3570057581574,1360,8327,7909.419865642994,3.5318940892608426,0.0,3500,3800,4100,4300,4700,5300,5800,6400,7500,8300,8300
GET,/product/LS4PSXUNUM,2207,0,3600,3647.0357951971,1563,8297,7905.748980516539,3.7403504102680802,0.0,3600,3900,4100,4300,4800,5300,5900,6200,7000,8300,8300
GET,/product/OLJCESPC7Z,2191,0,3500,3643.1296211775443,1117,8388,7939.234139662255,3.7132341408687646,0.0,3500,3900,4200,4400,4900,5300,5900,6300,7800,8400,8400
POST,/setCurrency,3063,0,4500,4668.259222984003,1609,13200,10567.176624224616,5.191070823131459,0.0,4500,5000,5500,5700,6400,7100,7900,8600,11000,13000,13000
,Aggregated,34746,4,3800,4010.8827778737123,790,14050,10231.01030334427,58.8863685342885,0.006779067349828872,3800,4300,4700,4900,5700,6400,7400,8400,12000,13000,14000
