Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1809,0,4200,4829.2653399668325,1737,12663,10554.392482034273,3.065271721323921,0.0,4200,4800,5400,6100,8700,9600,11000,11000,12000,13000,13000
GET,/cart,4553,0,3700,3827.7895892817924,1225,9657,13678.143641555018,7.714860225090002,0.0,3700,4200,4500,4700,5300,5900,6500,7000,7800,9700,9700
POST,/cart,4607,0,5300,5470.517473410028,2469,11998,18017.93227696983,7.806360873487731,0.0,5300,5800,6200,6500,7200,7800,8600,9100,11000,12000,12000
POST,/cart/checkout,1523,9,3000,3035.8883782009193,220,6796,6797.763624425476,2.5806571761063197,0.015250108066288166,3000,3300,3600,3700,4200,4600,5200,5500,6100,6800,6800
GET,/product/0PUK6V6EV0,2167,0,3500,3617.7397323488694,1489,8848,7916.26165205353,3.6718871310718284,0.0,3500,3900,4100,4300,4800,5300,5900,6500,8100,8800,8800
GET,/product/1YMWWN1N4O,2148,0,3500,3619.663873370577,1654,8714,7933.534916201117,3.6396924584874424,0.0,3500,3900,4100,4300,4800,5300,6000,6500,8400,8700,8700
GET,/product/2ZYFJ3GM2N,2187,0,3500,3619.647919524463,1110,8982,7941.594878829446,3.705776260108024,0.0,3500,3900,4100,4300,4800,5200,5800,6600,7900,9000,9000
GET,/product/66VCHSJNUP,2113,0,3500,3577.639375295788,1656,8184,7900.752957879792,3.580386482674099,0.0,3500,3800,4100,4200,4700,5200,5800,6200,7600,8200,8200
GET,/product/6E92ZMYYFZ,2187,0,3500,3569.2958390489252,1521,7880,7894.6707818930045,3.705776260108024,0.0,3500,3800,4100,4200,4700,5000,5700,6400,7700,7900,7900
GET,/product/9SIQT8TOJO,2178,0,3500,3604.751147842057,1501,8231,7938.01331496786,3.6905261520417363,0.0,3500,3900,4100,4300,4700,5200,5800,6500,7800,8200,8200
GET,/product/L9ECAV7KIM,2231,0,3500,3596.5477364410576,1471,9608,7902.818467055132,3.7803323439876553,0.0,3500,3900,4100,4200,4700,5200,5800,6300,8100,9600,9600
GET,/product/LS4PSXUNUM,2164,0,3500,3595.097966728281,1628,9082,7907.650184842883,3.666803761716399,0.0,3500,3800,4100,4300,4800,5200,5900,6500,7800,9100,9100
GET,/product/OLJCESPC7Z,2158,0,3600,3623.6788693234475,1334,7874,7930.7446709916585,3.65663702300554,0.0,3600,3900,4100,4300,4700,5200,5700,6300,7400,7900,7900
POST,/setCurrency,2951,0,4300,4503.209081667232,1743,13873,10567.136902744833,5.0003409892907085,0.0,4300,4800,5200,5500,6200,6800,8000,8900,13000,14000,14000
,Aggregated,34976,9,3800,3992.7538311985363,220,13873,10309.514295516927,59.26530885849943,0.015250108066288166,3800,4200,4600,4900,5700,6500,7600,8400,11000,13000,14000
